"comment_id","comment_likes_count","comment_message","attacks"
"10153024391204110_10153029280369110",0,"Hey you bribe sucking idiot do what's right for America raise the minimum wage",1
"10153028094811868_10153038516686868",7,"What a fag I hate Obama",1
"10153044741618424_10153053515463424",1,"I think the American people deserve to know what is in their food....then THEY can make an educated decision on whether to buy or consume the product. Voting in support of the DARK Act is taking away our choice.",0
"10153060287348878_10153061108258878",23,"Chris 100% of the guns used in those crimes are ILLEGAL guns: stolen, straw purchase, swapped among thugs...    **************** Provide me ONE crime where the gun used was legally, purchased and registered to the thug using it. ************  It's NOT a simple step to keep them out of criminal hands.  How do you prevent thugs from stealing a gun?  How do you prevent thugs from convincing/Duping a girlfriend, relative, ""buddy"" from making a straw purchase for them?  These things are ALREADY illegal yet criminals do them everyday.  Maryland's - almost 2 year old Hand Gun Qualification licensing scheme has NOT prevented one single crime using a gun.  Maryland's feckless AK47 ban has not stopped one gun crime either.  I can go down the list of every Maryland gun law and prove NONE has ever accomplished its stated goal.  Please Chris tell me what your new scheme is?  You ARE pandering...  JL, PhD - Firearms Safety Expert, NRA Cert. Insrt.  Ballistic Forensic Scientist",1
"10153067712751682_10153068186251682",0,"And you let him get away with the man caused climate change junk science.",1
"10153068922139424_10153070519694424",5,"Be nice if you politicians would enforce laws you swore to protect and defend the multiple times some of you have been sworn in instead of letting a minute few good judges do your dirty work!",0
"10153088857831682_10153088874661682",0,"He's not going to do anything.....wasting your breathe.....he could careless, as I've always said on your posts when you gripe about him Steve......be the one who steps up and makes the true Americans happy and do something about it to end this destruction of the USA",1
"10153099888989110_10153099965609110",1,"No wonder we're broke!",0
"10153130021421129_10153130598806129",0,"must have a lot of free time to post things like this considering you're planning a government shutdown. Sam Graves, one of the most corrupt politicians we have to today",1
"10153132415958837_10153132524918837",2,"We conservatives want people we vote for to fight for our beliefs and get the federal government back under control of the people &  if that means the federal government closes for a few months then so be it!  Moderation & compromising our principles is how  we got this messed up!",0
"10153139918489110_10153141949039110",0,"Split the State, Southern California takes water from the Colorado river and sucks the Delta to the point, where we can't grow food to feed the rest of the Country, they don't conserve. Let them desalinate the  Ocean they pollute.",1
"10153162600741646_10153167930726646",3,"Set to CAVE...  Paul Ryan and Mitch McConnell plan to force Americans to pay for President Obama’s Syrian refugee resettlement program. Oh, and ISIS reportedly owns a passport printing machine that will allow them to infiltrate the population.  A group is meeting in secret agreeing to what will go in and what won’t go in. It’ll hit the floor of the House soon….  This lack of leadership has become the filth of America! You SOB's are against all American values and morals. We are sick and fed up.   TRUMP IS AND WILL BE THE CLEAR CHOICE FOR GOP! #trump2016  http://allenwestrepublic.com/2015/12/10/sen-sessions-exposes-ryans-mcconnells-plans-to-force-americans-to-fund-syrian-refugees/  http://www.cnn.com/2015/12/11/politics/isis-passports/",1
"10153167361225802_10153170174940802",0,"She doesn't believe in enforcing the law.",0
"10153173437519415_10153176308534415",1,"Is the 30 hr work week another mistake like the (duh!) 57 states?",0
"10153177530569384_10153179659369384",0,"idiots at it again",1
"10153181330889862_10153181426789862",4,"We're watching the interview and your answers make no sense unless the people who posted above are correct. We may swing by the office to ask for a clarification. Why the deal is viewed as anything other than protection from war and a step toward peace is unclear, unless you don't want peace.",0
"10153190357978489_10153193095593489",0,"I fully support your decision to not attend the blatantly political Netanyahu speech. Supporting Israel does'nt mean supporting Likud.",0
"10153216916724607_10153226693969607",2,"The above actions are very commendable as far as that goes.  What is being done about the potus illegally discharging duties above and beyond the scope of the law, and putting America in serious, serious jeopardy of being over-run by our enemies, without even a chance for We, the People  to voice concern, much less fight for what we believe in!",0
"10153225909544772_10153693283164772",0,"It's so easy for people who have coverage to make noise about denying it to others who do not. Go without healthcare for a year, Cathy, and see how it feels. Or better yet, come down with a horrible disease during that time and see how THAT feels. Then you can tell us what a nightmare it is for more Americans to have access to medical care.",1
"10153233311979039_10153234017999039",4,"So now the Silver Star is conditional on future actions? Hypocrisy and insults!",1
"10153234566601904_10153235664631904",2,"Cause some people are just insane, that's all. Can you imagine the firepower you'd need to take over the second most populated but undoubtedly the most armed state in the Country? Even if you took the entire U.S. military (minus all those whose HOR is Texas) you could NEVER do it.  :)",1
"10153258939056696_10153259085351696",11,"The NRA is slowly bleeding this country's common sense and decency right out of the body politic. When will we wake up and end the 2nd Amendment tyranny?!",0
"10153261408409658_10153319242514658",0,"Since you so proudly cut the IRS budget to the bone, there is no one available to assist me on the telephone with an issue.  #ThanksAnderCrenshaw",1
"10153273841684415_10153277475154415",0,"Congress is supposed to be the most powerful branch of our system!  They need to assert themselves and realize their power and responsibility to our nation.  No more political whores!  Either political party!!!",1
"10153282182241648_10153282403991648",0,"Raytheon gets the bank,  Quote, Henry Kissinger, Soldiers are dumb animal used for foreign policy! Quote, Henry Kissinger!",1
"10153296061913489_10153296071138489",2,"Please make sure poor people can afford #transportation in Denver. The poor bus riders are getting knocked out with rate hikes!",0
"10153296307563424_10153296576178424",4,"I wonder why Congress is so impotent now.  It doesn't appear they can address one single important issue to our country and are helpless to remove the #1 danger to America.....our President.",1
"10153310928790196_10153315856690196",1,"Congressman Lamar Smith - Sir, what have we all seen out of this ""administration"" ? Many have commented about it in the past 7 years - NO ONE has done a thing to prevent it - while holding the ability to actually DO so all along.... Sir - I'm talking about ""sue and settle""...... it's become rampant. This is NO different..... it's an illegal ""power grab"" that is guaranteed to be shut down by the Courts as unconstitutional - in the meantime, Citizens WILL suffer because of it...... yet;  Speaker John Boehner refuses to defund this ""administration"" in any meaningful manner.. and is allowed to continue as ""speaker of the house"".... WHY?",1
"10153354982668424_10153354995538424",2,"Sometimes I wonder if your the same guy replying to my letters about my car, refugees, immigration, impeaching Obama and many other things, those templated replies scare the crap out of me.",0
"10153366151318424_10153367385178424",0,"We also need the issue of the ""DEATH DUMPS"" (as former FBI director for the LA office, TED GUNDERSON stated repeatedly), to be STOPPED. THIS isssue is the MOST IMPERITIVE, for it affects the FUTURE of ALL LIFE ON EARTH. This is not just GENOCIDE, rather OMNIZIDE where ALL life will be destroyed. THESE ARE WAR CRIMES, over the HEADS OF ALL CHILDREN. When will our LEADERS keep their oath to SERVE and PROTECT us from ENEMIES, both DOMESTIC and FOREIGN? When will the culprits be stopped for the TREASONOUS acts and not given LOOPHOLE legislation as MONSANTOS ABUSES have been SHIELDED while the GMO's and Glycophosate RAVAGE OUR CHILDREN""S inheritence and CHANCE to SURVIVE? We are watching, acting and ready to make all COMPLICIT parties accountable. FIGHT for those you are to represent, and the HISTORY books will show your integrity.",1
"10153369125231904_10153369536281904",0,"They already have cost us millions, even billions.",0
"10153399367805196_10153407235955196",1,"Mother of Californian woman 'shot dead at random' by illegal Mexican immigrant who had been deported FIVE TIMES condemns officials who let him stay Kathryn Steinle, 32, was shot dead on San Francisco's Pier 14 on Thursday Francisco Sanchez, 45, is accused of killing her in an unprovoked attack He had been deported five times before and was jailed earlier this year Sanchez should have been given to immigration officials, but wasn't Her mother Liz Sullivan spoke out to lament that more wasn't done Sanchez was on the streets thanks to San Francisco 'sanctuary city' policy Presidential candidate Donald Trump weighed in on the case Friday   By Kieran Corcoran For Dailymail.com   Published: 17:01 EST, 4 July 2015  | Updated: 18:13 EST, 4 July 2015     The family of a California woman who was allegedly shot dead by an illegal Mexican immigrant have criticized officials who didn't hand him over after he was jailed just months before the attack.  Grieving relatives of Kathryn Steinle, 32, who was shot dead on San Francisco's Pier 14 Thursday night, made the comments in light of revelations that alleged killer Francisco Sanchez, 45, had already been sent back over the border five times.  Immigration officials said that they had made him a 'priority' request for any law enforcement officers who picked him up.  Read more: http://www.dailymail.co.uk/news/article-3149706/Family-Californian-woman-shot-dead-random-illegal-Mexican-immigrant-deported-FIVE-TIMES-condemn-officials-let-stay.html#ixzz3f9ybttUQ",0
"10153446469045939_10153452427680939",0,"Harper, what have you been smoking??? You and the dictator been smoking weed our back ...",1
"10153452875522938_10153456526487938",1,"Nothing in the law requires me to be respectful of stupid religious/mythical nonsense.",1
"10153477820434862_10153478011184862",1,"Disapointed, What has Congress done for me, lately?",0
"10153493187012230_10153493460927230",2,"This Pope is a fraud, and so is man made climate change. The climate has been going through cycles long before man inhabited the earth.",1
"10153516440021672_10153517752946672",0,"It's dam shame that Americas have to be under mind control by Quinnipiac Poll !",1
"10153525257188705_10153529031238705",0,"What a dumbass for a TMI graduate !",1
"10153578631604110_10153598291619110",0,"I'm having grave difficulty in contacting a staff member of yours. Jole Scott.",1
"10153629572584277_10153631466144277",1,"One sociopathic sack of failure giving another sociopathic sack of failure a reacharound.  Isn't that adorable?",1
"10153644671246392_10153644681561392",0,"There were about 23,000 casualties at Shiloh. About 3400 killed. Stlll quite shocking and terrible.",0
"10153658156256460_10153658211726460",1,"what dumb hayseed.  you do realize how stupid you look right now?",1
"10153668528716164_10153669602426164",1,"Never in my lifetime did I think I would see the United States turn it's back on Israel. You are like a little kid who gets mad and takes his toys and goes home. I am ashamed.",1
"10153683850782006_10153685036877006",2,"This is stupid they're still getting paid they can't fight and they can't kick them out they pay people to take care of them they're not going to be without food that I can do without power they're going to probably had people go in there and get the change of clothes and their homes they're not suffering that I don't suffer. They're doing this for their own personal reasons.",1
"10153716575037006_10153729401487006",0,"You are an idiot",1
"10153724957969860_10153729596899860",0,"Michael McCaul --- If you have the moral courage to publicly acknowledge my question, I'll make a 2,500 donation to the Wounded Warrior Project and a matching contribution to your reelection campaign.  You don't even have to attempt an answer.  Just raise the issue.  Every NFL stadium has 50,000 - 100,000 active wireless devices capable of receiving real-time, false information.  Shouldn't the NFL explicitly warn its fans that legitimate emergency evacuation orders would NEVER be delivered via their personal cell phones?    Reason being, if something like this were to happen... it's almost certainly a malicious hoax designed to create a stampede.  Hint: official evac orders come from the public address system in tandem with the video monitors.  NOT CELL PHONES. agsaf.org/the-nfls-dirty-little-secret-2  Just some common sense, public safety info that nobody's allowed to talk about. The federal government and private industry won't go anywhere near this cyber-security threat... unless there's a tragedy first. agsaf.org",1
"10153740689179988_10153741787454988",21,"What all you haters and ignorant politicians fail to realize is the President's actions were NOT illegal. Bush did it, Reagan did it - but because you hate the President because he's been portrayed by the GOP propaganda as socialist, communist or whatever (or just black) - you think this is wrong. The non-documented immigrants are too numerous to deport them all, and it's an attempt to get these folk to register - which makes them taxable. A sensible partial solution - much more than what the GOP congress is willing to do. Get over it!",1
"10153741378438489_10153741384993489",0,"Not if they're aborted first. After all they aren't a person until the government decided they are a person.",0
"10153754526278620_10153760881608620",0,"How could you join the Republicans in their vote against the Syrian refugees?? What is the matter with you? Have you lost your common sense??? Stop being so AFRAID! Those poor people!!! Having to leave their homeland and all that is familiar to them. You know they will be vetted... what are you so AFRAID of??? I can't believe that now we not only have to convince/encourage the GOP, but also 47 DEMOCRATS to open our hearts to the Syrian refugees. Please come to your senses!!!",1
"10153785019752006_10153787100977006",4,"Your ignorance is amazing",1
"10153787420532239_10153788387342239",1,"How cruel can "" humans "" be!  Worse than any animal !  How can this be allowed to happen in this day and age ?!!  So very sad.....",1
"10153837298586757_10153838399346757",1,"He has no integrity of any kind.",1
"10153853143965628_10153864126695628",1,"Mac,  We absolutely must stop Boehner's back door budget deal today.  We must not grant the executive branch a blank check.  if we do, everything our forefathers fought and died for is lost!",0
"10153886056289132_10153886858959132",0,"Again, you people choose to act like little children and not do your job. What is this going to solve? Absolutely nothing! Get off your sorry butts, act like adults, and have meaningful fact based debates. That's what we pay you to do! This is why you people have such a low approval rating.  I'm proud of my service, but am disgusted that I put me life on the line and watched my brothers in arms be killed in Afgahanistan only to come home and have our constitutional rights blasted away by your fools!   Disgusting!  Mike Lawver USMC 2008-2012",1
"10153967679589607_10154000574534607",0,"Mike Crapo sensors his Facebook page by removing ALL comments he don't like, mostly regarding his DUI in 2013. He has now BLOCKED me from posting on his page completely, does this sound like someone who represents Idaho ? I think not",0
"10153997357480839_10153999543555839",1,"Where does this idiot receive his health care if there is nothing else available in his state?",1
"10154016949548083_10154017541698083",1,"Quit wasting my taxpayer dollars, Pete! How many times have y'all barked up that tree and LOST?!",1
"10154070335838787_1786512348238334",1,"Barbara, apparently you are to busy and haven't really paid attention to what is going on, or maybe you are getting all of your information from Mainstream media. Either way, Hillary has attacked Bernie supporters by tell us we are young and don't do our research (I'm actually 41, a federal government employee and I spend my free time studying corruption), she has attacked Greenpeace members when questioned if she would end her ties with fossil fuel companies, but instead of attacking them for their facts she blames Bernie's campaign! Both she and her husband have verbally attacked #BLM members and now she is claiming that VT is responsible for guns in NYC (which has been proven to be false), and even if they were, Senator Sanders is a federal employee and gun laws are made on a LOCAL LEVEL! My question is, how much is she paying and the DNC paying you, as it has come to light that the DNC paid super delegates to pledge their vote to Hillary before the primaries stared and how much are they paying you for this post?  You know I really thought you were getting it when you and Senator Sanders worked together to amend the farm bill to label GMO's but your support of Hillary tells me you don't get it, because if you did you would know that supporting her is supporting GMOs, as she feels companies that produce them should just ""rebrand"" them, so they don't sound so scary. Plus, Hillary has been questioning his qualifications for months and insinuating he is lying to his supporters, and every time she does it the facts come out that she is not being honest!",1
"10154070335838787_2026562060902300",0,"http://usuncut.com/politics/hillary-clinton-gaslighting-sanders/  Hillary Clinton Is Gaslighting Bernie Sanders and It Is Abusive Amanda Girard | April 7, 2016 US Uncut   Hillary Clinton shares a common trait with Donald Trump, establishment media, and mental abusers. That trait is gaslighting.  According to the basic Wikipedia definition, gaslighting is a form of mental abuse wherein “information is twisted or spun, selectively omitted to favor the abuser, or false information is presented” by an abusive person in order to manipulate the accuser into questioning reality. Most commonly, the technique is used by abusers to outright deny any past wrongdoing when confronted for past behavior.  After a feud yesterday in which Clinton questioned Sanders’ qualifications for the presidency and Sanders responded in kind, Hillary Clinton played coy and acted as if she were above the fray. During an interview in New York, Clinton said she would support Sanders if he were the nominee, and suggested he instead direct his attacks on Republicans and “keep our eye on what’s really at stake in this election.”  This is an odd 180 degree turn from Clinton’s post-Wisconsin campaign strategy of promising a scorched-earth primary until the convention. After Clinton’s drubbing in the Wisconsin primary, CNN reported that Clinton’s campaign was seeking to “disqualify and defeat” Sanders ahead of the convention, and put party unity on the back burner.  For starters, Clinton used the 20 children killed in Sandy Hook as a launch pad for attacking Sanders on gun control, which ended up blowing up in her face. She also hinted that Bernie Sanders was a fake Democrat, who was unqualified to run for president. Attacking Sanders apparently wasn’t enough, as Clinton also lobbed patronizing shots at his supporters, saying she felt “sorry” for young people voting for Sanders who “don’t do their own research.”  Furthermore, at the most recent Democratic debate, Clinton accused Sanders of siding with anti-immigrant “minutemen” militias and suggested he was popular with the Koch Brothers. Before that, she tried to claim he was against the auto bailout for Michigan workers during the debate in Flint. ( ... )  Clinton shouldn’t be allowed to squirm her way out of her doublespeak. Gaslighting is a manipulative tactic, and the media should hold her accountable for acting as though her slew of attacks on Sanders never happened.",1
"10154087680916546_10154088708551546",0,"Jeff, I can't and won't trust ANY of Trump's picks any further than I could throw them! ��",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
"10154147901995884_10154148401995884",0,"going to hurt the poor folks again - miners out of work - electric bills going out of sight - Solar and Wind cannot make it on it;s own without massive gov't credits etc - Of Course China and other countries will continue to pollute - At some point this country will implode from the debt and then we can have China run our country - So tired of the same old scare tactics - 20 years ago it was predicted that NYC would be under water by 2015 = Remember that Prediction ??? - Well it didn't happen - When folks lose all respect for getting this country back to number ONE - they change the subject back to Global Warming and because the climate has been cooling for past 15 yrs it is now called climate change - I hope America wakes up to this ruse before it's to late - Look who is getting rich of of this BS beside Al Gore - Show me where I'm wrong",1
